p0_66,147.972
p10_36,140.964
p11_70,149.619
p11_98,107.023
p11_99,115.164
p12_21,116.294
p12_24,-999900
p12_25,120.593
p13_20,230.943
p14_13,181.998
p19_54,108.332
p1_24,236.998
p20_36,132.301
p22_17,181.24
p22_61,277.126
p23_3,114.828
p24_58,212.998
p26_71,245.823
p27_99,175.342
p28_7,182.499
p28_52,-999900
p28_91,124.365
p2_73,269.271
p30_0,269.967
p30_21,153.406
p30_53,145.968
p31_24,274.993
p31_56,128.383
p33_19,118.878
p35_79,117.118
p37_73,-999900
p38_29,125.287
p38_48,154.014
p38_68,162.556
p39_65,270.747
p39_86,269.723
p3_32,-999900
p40_9,128.08
p40_70,187.607
p40_79,173.264
p41_18,151.352
p41_21,209.121
p41_90,-999900
p42_21,-999900
p42_87,109.548
p44_21,280.959
p44_50,178.832
p45_11,249.177
p45_39,124.65
p46_32,154.553
p47_8,129.226
p49_56,118.142
p4_77,182.106
p50_3,234.422
p50_22,225.216
p50_92,114.4
p54_45,211.964
p56_28,99.5206
p56_54,102.635
p57_6,143.172
p57_65,282.724
p57_70,126.688
p58_92,170.854
p59_22,260.778
p59_85,145.046
p5_5,200.851
p61_0,186.512
p62_17,237.141
p62_29,132.172
p62_95,223.128
p65_12,293.632
p65_36,170.101
p65_46,268.113
p65_59,193.674
p66_6,150.281
p66_72,120.6
p67_52,266.769
p67_55,175.593
p67_60,295.249
p67_85,281.629
p68_75,324.051
p6_29,148.682
p6_44,114.923
p6_79,87.8196
p70_20,295.042
p72_25,112.795
p72_98,346.012
p73_37,271.881
p74_45,131.458
p75_13,178.32
p75_30,182.361
p75_83,253.193
p76_73,183.162
p77_49,172.813
p77_53,114.436
p77_56,248.215
p79_42,126.155
p79_60,98.1106
p79_85,250.06
p7_14,180.919
p7_27,258
p7_28,221.614
p7_37,286.557
p7_49,202.001
p80_0,127.9
p80_29,126.219
p80_69,152.093
p81_33,129.502
p82_13,-999900
p83_94,264.508
p84_39,121.032
p86_1,257.202
p86_86,285.493
p87_52,245.206
p88_87,181.039
p89_61,264.18
p8_4,294.758
p8_72,270.948
p90_22,276.071
p91_72,127.592
p92_14,162.807
p93_8,-999900
p94_17,153.303
p94_49,175.168
p95_34,274.737
p96_35,117.128
p96_99,161.266
p97_3,139.505
p97_51,107.064
p97_90,112.126
p98_80,-999900
p99_38,277.011
p9_37,107.599
p100_11,188.655
p100_92,-999900
p110_28,123.723
p110_37,266.439
p110_75,309.103
p112_49,-999900
p113_1,294.813
p113_45,124.229
p113_55,125.387
p114_64,284.146
p114_97,141.543
p115_69,236.398
p117_53,131.761
p119_24,266.148
p120_92,224.684
p121_53,280.567
p121_63,124.728
p121_81,171.239
p122_3,266.701
p123_32,242.811
p123_87,173.845
p124_45,173.581
p125_8,121.593
p126_30,197.529
p126_50,116.708
p126_92,124.875
p127_85,268.328
p129_98,222.013
p102_48,176.992
p130_60,164.842
p130_81,258.01
p131_15,179.116
p133_1,112.839
p133_73,101.757
p134_83,156.487
p138_27,108.968
p138_79,163.407
p138_98,172.382
p139_5,266.043
p139_55,170.279
p142_1,101.64
p142_54,203.022
p143_41,170.024
p143_75,248.747
p145_52,282.425
p147_15,155.835
p149_43,260.171
p104_61,303.262
p104_97,125.716
p151_54,176.182
p151_71,230.682
